code,name,sector,price,per,pbr,yield,roe,d2e,pos52,mcap,score,flags
6701,日本電気,電気機器,4650.0,22.914307,2.760653,0.8172043010752689,14.16,25.493,0.4034003091190108,6167499636736.0,26,
6269,三井海洋開発,機械,10715.0,10.44235,2.788915,0.009902006532897807,,25.077,0.40308151093439365,732308701184.0,26,
5631,日本製鋼所,機械,8256.0,31.548779,2.8427277,1.1143410852713178,10.228,39.917,0.3978604177279674,607730597888.0,26,
8715,アニコム　ホールディングス,保険業,1143.0,38.34284,2.872964,0.7874015748031495,13.954,34.526,0.4081419624217119,83234652160.0,26,
471A,ＮＳグループ,その他金融業,1600.0,11.37333,3.0349014,2.1875,,97.466,0.6209523809523809,81326399488.0,26,
6702,富士通,電気機器,3601.0,20.604221,3.069252,1.388503193557345,16.201999999999998,6.507,0.35411622276029053,6233427804160.0,26,利益急減(-76%)
6254,野村マイクロ・サイエンス,機械,3770.0,38.235294,3.7511318,2.1485411140583555,9.7770005,145.616,0.4198524480214621,144733257728.0,26,利益急減(-50%) / 売上減(-26%)
5706,三井金属,非鉄金属,30060.0,18.84285,4.1737905,0.8150365934797072,30.622,27.79,0.43945324382972684,1719950901248.0,26,
6368,オルガノ,機械,13980.0,22.64371,4.5306,1.4306151645207439,21.583,26.333,0.352755905511811,642833252352.0,26,
8919,カチタス,不動産業,3555.0,22.307981,5.1968746,2.250351617440225,26.601999999999997,66.311,0.8101719197707736,278219915264.0,26,
3687,フィックスターズ,情報・通信業,2226.0,41.865715,7.9019957,0.8086253369272237,19.495001000000002,0.322,0.41533546325878595,71907049472.0,26,
8364,清水銀行,銀行業,3290.0,18.578125,0.4606827,1.82370820668693,3.0940002,,0.9935316946959897,37238702080.0,25,
5074,テスホールディングス,建設業,622.0,20.698835,0.885867,0.8231511254019293,2.0680001,190.571,0.27992957746478875,43933769728.0,25,
3315,日本コークス工業,石油・石炭製品,106.0,,0.90647876,,-19.358,200.062,0.29850746268656714,30848411648.0,25,赤字(EPS≤0) / 売上減(-17%)
2730,エディオン,小売業,2508.0,17.188677,1.1056772,1.9138755980861244,8.602,24.884,0.7644882860665845,265195192320.0,25,
8708,アイザワ証券グループ,証券、商品先物取引業,1724.0,19.482428,1.1233487,2.726218097447796,7.39,50.108,0.9614604462474645,53767979008.0,25,
2811,カゴメ,食料品,2654.0,18.163155,1.2439898,1.8085908063300677,7.195,30.977,0.31268151016456924,239944269824.0,25,
6586,マキタ,機械,5253.0,17.501831,1.3446689,2.8555111364934325,8.596,1.697,0.5514066496163683,1353465987072.0,25,
2267,ヤクルト本社,食料品,2845.5,18.86561,1.361448,2.319451765946231,8.218,17.337,0.6922596754057428,816191373312.0,25,
8795,Ｔ＆Ｄホールディングス,保険業,4929.0,17.635695,1.4130716,2.637451815784135,9.340999,13.856,0.8758793969849247,2348379799552.0,25,
4401,ＡＤＥＫＡ,化学,4692.0,16.866777,1.4196754,2.3870417732310316,9.681,12.725,0.7822410147991543,455011270656.0,25,
7984,コクヨ,その他製品,863.4,16.587896,1.4273458,2.9244845957841092,8.604000000000001,1.413,0.46500479386385424,363538481152.0,25,
2325,ＮＪＳ,サービス業,4680.0,20.400156,1.44341,1.1752136752136753,10.4370005,,0.16363636363636364,44568162304.0,25,
3360,シップヘルスケアホールディングス,卸売業,2349.5,16.282051,1.4665776,2.553734837199404,9.2259996,17.914,0.4567147613762486,214308782080.0,25,
1979,大氣社,建設業,4070.0,16.606146,1.4692186,2.7027027027027026,9.6219994,1.983,0.5659647614954878,256408010752.0,25,
4552,ＪＣＲファーマ,医薬品,525.0,29.362417,1.4824814,3.8095238095238098,1.9040000000000001,123.635,0.2131578947368421,64058834944.0,25,
8802,三菱地所,不動産業,3601.0,19.795504,1.5926412,1.2774229380727575,10.7,129.755,0.20719929762949957,4323677831168.0,25,
2897,日清食品ホールディングス,食料品,2920.0,18.685608,1.593662,2.3972602739726026,9.625,34.874,0.4752116082224909,836808015872.0,25,
7596,魚力,小売業,2352.0,25.171232,1.7265148,2.2108843537414966,7.405,0.099,0.42702702702702705,32827949056.0,25,
7868,広済堂ホールディングス,その他製品,581.0,18.110971,1.7396511,2.296041308089501,9.471,29.889,0.49854227405247814,85919580160.0,25,
2229,カルビー,食料品,3011.0,21.49486,1.7641263,2.191962803055463,8.454,16.774,0.6326530612244898,366101037056.0,25,
7383,ネットプロテクションズホールディングス,その他金融業,414.0,23.738531,1.9032645,,8.924,53.692,0.14603174603174604,41194242048.0,25,
